risk_id	stage	risk	severity	is_label_leakage	control	verification	status
R01	Correction fitting	Held-out response labels enter DEBIAS-M correction or prediction loss.	Critical	Yes	Never pass target labels to correction, tuning, early stopping or model fitting.	Script separates y_test and references it only after final probabilities are written.	PROHIBITED
R02	Hyperparameter/model selection	Target AUC is used to select batch_str, learning rate, epochs, feature cap, mode or downstream model.	Critical	Yes	Freeze official/default correction settings and five seeds before opening target labels.	No performance-driven selection; report all prespecified modes and seeds.	PROHIBITED
R03	Reporting	Standard DEBIAS-M is described as fully inductive although x_val target abundances enter fitting.	High	No	Label explicitly as transductive unsupervised target-distribution adaptation.	Estimand wording checked in Results, Methods, legends and cover letter.	CONTROL REQUIRED
R04	Deployment interpretation	Online DEBIAS-M is described as static single-patient prediction.	High	No	State that unseen target-batch factors are estimated from an unlabeled target sample set.	No single-patient clinical-deployment claim.	CONTROL REQUIRED
R05	Feature preprocessing	Prevalence filtering, variance ranking, pseudocount or scaling uses held-out target data.	Critical	No — but external-test contamination	Select features using outer-training samples only; pass raw nonnegative abundances for selected taxa to DEBIAS-M.	Fold audit stores feature list and training-only transformation state.	CONTROL REQUIRED
R06	Batch definition	Clinical domain, publication family or processing batch is chosen after observing performance.	High	Yes if chosen by target performance	Prespecify clinical domain as the primary batch variable.	Batch map and checksum frozen before execution.	CONTROL REQUIRED
R07	Batch interpretation	Clinical-domain correction is interpreted as isolated laboratory processing-bias correction.	High	No	Call it domain adaptation; acknowledge confounding by geography, host, treatment, endpoint and technical factors.	No causal attribution to processing protocol.	CONTROL REQUIRED
R08	Classifier comparability	DEBIAS-M embedded classifier is compared directly with the frozen class-balanced elastic-net as if only correction differed.	High	No	Primary benchmark uses DEBIAS-M as preprocessing followed by the same locked downstream elastic-net.	Embedded classifier is tertiary and separately labelled.	CONTROL REQUIRED
R09	Class imbalance	Official wrapper accepts sample_weight but the inspected fit path does not use it; correction's phenotype loss is unweighted.	Moderate	No	Retain class-balanced downstream elastic-net and disclose that embedded DEBIAS-M correction uses its official unweighted phenotype objective.	No claim of exact classifier equivalence.	DISCLOSE
R10	Randomness	random_state is stored by the wrapper but is not passed to the inspected training function.	Moderate	No	Set NumPy, Python, PyTorch and Lightning seeds externally; run five prespecified seeds.	Seed-level metrics and deterministic smoke-test logs retained.	CONTROL REQUIRED
R11	Internal validation	Official training uses a sample-level internal validation split for early stopping rather than grouped domains.	Moderate	No target leakage	Do not use internal validation performance for scientific inference; keep official algorithm unchanged and assess outer held-out domains only.	Outer-fold target remains untouched by labels.	DISCLOSE
R12	Multiplicity/reporting	Best seed, best fold or best DEBIAS-M mode is selectively reported.	Critical	Selective inference	Report all prespecified seeds, both adaptation modes and all LODO/LOSFO folds.	No model promotion; baseline remains primary.	PROHIBITED
